B+ Execution Time (ms),Sequential Execution Time (ms),Difference Between Results,Number of Operators,Same Top Result,Top Result Included,File
433.95161628723145,71929.58545684814,15,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1002248/question/0.xml
2636.5914344787598,76236.49907112122,12,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1002248/question/2.xml
95.62134742736816,94272.8316783905,18,15,True,True,./../../Downloads/dataset_full/dataset_full/math/1002459/question/0.xml
168.6840057373047,64123.07047843933,3448,1,True,True,./../../Downloads/dataset_full/dataset_full/math/10029/question/1.xml
112.8077507019043,77178.37715148926,11,4,True,True,./../../Downloads/dataset_full/dataset_full/math/10029/question/2.xml
158.1254005432129,61461.0800743103,3195,1,False,True,./../../Downloads/dataset_full/dataset_full/math/10029/question/3.xml
2701.517343521118,67570.61839103699,2835,1,False,True,./../../Downloads/dataset_full/dataset_full/math/1004148/question/0.xml
2277.3871421813965,68082.3724269867,2159,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1004514/question/12.xml
702.8584480285645,67799.46899414062,409,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1004514/question/18.xml
154.34885025024414,70685.43910980225,157,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1004514/question/19.xml
196.32625579833984,73065.35053253174,157,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1004514/question/20.xml
98.89888763427734,73445.72377204895,35,2,True,True,./../../Downloads/dataset_full/dataset_full/math/1004514/question/21.xml
98.14333915710449,84651.23748779297,27,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1004514/question/22.xml
116.56737327575684,73067.07787513733,21,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1004514/question/28.xml
226.74155235290527,80875.18119812012,102,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1004514/question/7.xml
128.88622283935547,121386.01875305176,17,5,True,True,./../../Downloads/dataset_full/dataset_full/math/10046/question/0.xml
788.5892391204834,67983.41274261475,2681,2,False,True,./../../Downloads/dataset_full/dataset_full/math/10046/question/1.xml
2322.1137523651123,69484.87997055054,2159,2,False,True,./../../Downloads/dataset_full/dataset_full/math/10046/question/2.xml
765.3264999389648,65016.15595817566,2681,2,False,True,./../../Downloads/dataset_full/dataset_full/math/10046/question/3.xml
782.9477787017822,65137.05587387085,2681,2,False,True,./../../Downloads/dataset_full/dataset_full/math/10046/question/4.xml
395.8704471588135,71163.31720352173,185,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1006794/question/0.xml
120.38850784301758,67394.53411102295,29,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1006794/question/1.xml
121.27470970153809,89546.04005813599,14,7,True,True,./../../Downloads/dataset_full/dataset_full/math/1006794/question/2.xml
122.53046035766602,88438.77410888672,11,6,True,True,./../../Downloads/dataset_full/dataset_full/math/1006794/question/5.xml
95.123291015625,111561.06567382812,14,6,True,True,./../../Downloads/dataset_full/dataset_full/math/1007256/question/2.xml
527.9486179351807,72573.63653182983,30,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1007256/question/3.xml
112.77985572814941,114345.98970413208,17,7,True,True,./../../Downloads/dataset_full/dataset_full/math/1007256/question/4.xml
368.3950901031494,68277.17518806458,30,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1007256/question/5.xml
2010.2565288543701,67545.70865631104,2824,1,False,True,./../../Downloads/dataset_full/dataset_full/math/1008091/question/0.xml
130.9967041015625,68840.09337425232,90,2,True,True,./../../Downloads/dataset_full/dataset_full/math/1008091/question/1.xml
2689.859628677368,75939.17751312256,12,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1008487/question/0.xml
593.9087867736816,77328.72653007507,546,3,True,True,./../../Downloads/dataset_full/dataset_full/math/101062/question/0.xml
562.1881484985352,75699.97882843018,546,3,True,True,./../../Downloads/dataset_full/dataset_full/math/101062/question/1.xml
398.20170402526855,72443.73393058777,185,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1011095/question/0.xml
422.11341857910156,73745.76377868652,185,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1011095/question/1.xml
98.54722023010254,91531.74018859863,11,2,True,True,./../../Downloads/dataset_full/dataset_full/math/1011095/question/10.xml
667.1476364135742,85182.4152469635,16,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1011095/question/11.xml
115.23723602294922,85944.93532180786,16,7,True,True,./../../Downloads/dataset_full/dataset_full/math/1011095/question/12.xml
122.61724472045898,85593.23453903198,16,7,True,True,./../../Downloads/dataset_full/dataset_full/math/1011095/question/13.xml
499.9058246612549,66030.05409240723,1267,1,False,True,./../../Downloads/dataset_full/dataset_full/math/1011095/question/2.xml
578.6709785461426,78170.14980316162,63,3,False,True,./../../Downloads/dataset_full/dataset_full/math/1011095/question/4.xml
577.3224830627441,77940.25731086731,63,3,False,True,./../../Downloads/dataset_full/dataset_full/math/1011095/question/7.xml
158.16354751586914,86416.97835922241,3,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1011290/question/1.xml
196.8677043914795,74745.10598182678,15,4,True,True,./../../Downloads/dataset_full/dataset_full/math/101214/question/13.xml
163.0094051361084,85901.76010131836,18,8,True,True,./../../Downloads/dataset_full/dataset_full/math/101214/question/14.xml
2078.9475440979004,78675.47369003296,18,1,True,True,./../../Downloads/dataset_full/dataset_full/math/101214/question/8.xml
181.45298957824707,94419.49510574341,18,9,True,True,./../../Downloads/dataset_full/dataset_full/math/101214/question/9.xml
493.6552047729492,69035.82906723022,78,2,True,True,./../../Downloads/dataset_full/dataset_full/math/1013230/question/0.xml
183.1965446472168,69400.1350402832,5,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1013230/question/1.xml
1121.9475269317627,77918.23363304138,17,1,True,True,./../../Downloads/dataset_full/dataset_full/math/101480/question/0.xml
175.62031745910645,69753.02600860596,49,4,True,True,./../../Downloads/dataset_full/dataset_full/math/101480/question/3.xml
1042.2863960266113,69252.43258476257,91,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1015642/question/2.xml
1183.3851337432861,80298.35677146912,16,5,True,True,./../../Downloads/dataset_full/dataset_full/math/1017074/question/0.xml
2185.3559017181396,82768.86248588562,30,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1017074/question/1.xml
523.35524559021,100754.90593910217,16,10,True,True,./../../Downloads/dataset_full/dataset_full/math/1017074/question/2.xml
2110.2027893066406,67149.59931373596,2159,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1017074/question/3.xml
2148.6685276031494,67189.33892250061,2159,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1018014/question/1.xml
2145.1163291931152,67050.42386054993,2159,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1018014/question/2.xml
2459.9618911743164,71681.21600151062,217,2,True,True,./../../Downloads/dataset_full/dataset_full/math/1018014/question/3.xml
2138.7152671813965,67220.70121765137,2159,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1018014/question/4.xml
395.59078216552734,75197.65090942383,61,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1018014/question/5.xml
228.3475399017334,77455.52039146423,14,2,True,True,./../../Downloads/dataset_full/dataset_full/math/101975/question/0.xml
1228.6417484283447,76068.08710098267,7,1,True,True,./../../Downloads/dataset_full/dataset_full/math/101975/question/1.xml
232.1622371673584,75322.45922088623,13,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1019966/question/0.xml
2843.1272506713867,69209.39135551453,50,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1019966/question/2.xml
111.75227165222168,68147.9594707489,242,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1021876/question/0.xml
778.6648273468018,119583.2712650299,16,8,True,True,./../../Downloads/dataset_full/dataset_full/math/1021947/question/0.xml
1016.8678760528564,118730.28445243835,14,6,False,True,./../../Downloads/dataset_full/dataset_full/math/1021947/question/1.xml
457.08560943603516,77232.65480995178,18,2,True,True,./../../Downloads/dataset_full/dataset_full/math/1021947/question/3.xml
137.57848739624023,116474.10535812378,14,12,True,True,./../../Downloads/dataset_full/dataset_full/math/1021947/question/4.xml
141.91746711730957,166091.50195121765,14,15,True,True,./../../Downloads/dataset_full/dataset_full/math/1021947/question/5.xml
312.91890144348145,104862.65826225281,18,5,True,True,./../../Downloads/dataset_full/dataset_full/math/1021947/question/6.xml
109.41195487976074,94375.24366378784,18,2,True,True,./../../Downloads/dataset_full/dataset_full/math/102262/question/6.xml
130.39588928222656,107984.80272293091,16,10,True,True,./../../Downloads/dataset_full/dataset_full/math/1022966/question/0.xml
958.477258682251,70104.54869270325,16,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1024158/question/0.xml
117.04254150390625,83028.77831459045,11,10,True,True,./../../Downloads/dataset_full/dataset_full/math/1024158/question/1.xml
153.05328369140625,121799.1771697998,18,23,True,True,./../../Downloads/dataset_full/dataset_full/math/1024158/question/2.xml
143.40996742248535,131859.9569797516,18,23,True,True,./../../Downloads/dataset_full/dataset_full/math/1024158/question/3.xml
436.82003021240234,75896.7432975769,40,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1024280/question/1.xml
108.03723335266113,113979.98213768005,16,10,True,True,./../../Downloads/dataset_full/dataset_full/math/1024280/question/11.xml
581.7670822143555,93528.58519554138,14,7,True,True,./../../Downloads/dataset_full/dataset_full/math/1024280/question/12.xml
2478.9319038391113,74195.56474685669,57,2,True,True,./../../Downloads/dataset_full/dataset_full/math/1024280/question/2.xml
2393.6760425567627,71144.17243003845,217,2,True,True,./../../Downloads/dataset_full/dataset_full/math/1024280/question/3.xml
108.2911491394043,73173.05278778076,14,5,True,True,./../../Downloads/dataset_full/dataset_full/math/1024280/question/4.xml
2494.792938232422,74522.95684814453,41,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1024280/question/5.xml
2587.972402572632,77867.06185340881,8,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1024280/question/6.xml
958.6818218231201,73411.35358810425,55,3,False,True,./../../Downloads/dataset_full/dataset_full/math/1024280/question/7.xml
641.669750213623,81528.71441841125,17,5,True,True,./../../Downloads/dataset_full/dataset_full/math/1024280/question/8.xml
263.6256217956543,73130.45144081116,18,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1024280/question/9.xml
1942.121982574463,64369.107246398926,111,1,False,True,./../../Downloads/dataset_full/dataset_full/math/1025690/question/4.xml
2774.8143672943115,68748.96955490112,9,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1025690/question/5.xml
2766.2386894226074,69037.95433044434,308,1,False,True,./../../Downloads/dataset_full/dataset_full/math/10274/question/1.xml
701.3025283813477,65936.5131855011,409,1,True,True,./../../Downloads/dataset_full/dataset_full/math/10274/question/2.xml
2677.4909496307373,83290.83347320557,0,1,True,True,./../../Downloads/dataset_full/dataset_full/math/102849/question/10.xml
339.74719047546387,82061.3284111023,4,2,True,True,./../../Downloads/dataset_full/dataset_full/math/102849/question/11.xml
454.05125617980957,75253.96180152893,14,2,True,True,./../../Downloads/dataset_full/dataset_full/math/102849/question/12.xml
332.4909210205078,74787.99390792847,4,2,True,True,./../../Downloads/dataset_full/dataset_full/math/102849/question/13.xml
435.6861114501953,71934.002161026,10,2,True,True,./../../Downloads/dataset_full/dataset_full/math/102849/question/14.xml
338.4561538696289,74773.28395843506,13,2,True,True,./../../Downloads/dataset_full/dataset_full/math/102849/question/18.xml
421.6134548187256,70236.02676391602,12,2,True,True,./../../Downloads/dataset_full/dataset_full/math/102849/question/19.xml
2741.973876953125,68376.45649909973,13,1,True,True,./../../Downloads/dataset_full/dataset_full/math/102849/question/2.xml
3015.259027481079,79146.46005630493,7,1,True,True,./../../Downloads/dataset_full/dataset_full/math/102849/question/3.xml
2784.3613624572754,69357.86819458008,51,1,True,True,./../../Downloads/dataset_full/dataset_full/math/102849/question/4.xml
2119.614601135254,67294.0628528595,2159,2,False,True,./../../Downloads/dataset_full/dataset_full/math/102885/question/0.xml
90.94691276550293,76920.68457603455,11,4,True,True,./../../Downloads/dataset_full/dataset_full/math/102885/question/1.xml
190.55986404418945,94139.78004455566,47,10,True,True,./../../Downloads/dataset_full/dataset_full/math/102885/question/3.xml
146.18873596191406,109734.5175743103,13,14,True,True,./../../Downloads/dataset_full/dataset_full/math/102885/question/6.xml
118.16954612731934,63118.04294586182,1352,1,False,True,./../../Downloads/dataset_full/dataset_full/math/102885/question/7.xml
2289.198160171509,71458.70232582092,2159,2,False,True,./../../Downloads/dataset_full/dataset_full/math/102885/question/8.xml
101.53913497924805,82456.17485046387,11,4,True,True,./../../Downloads/dataset_full/dataset_full/math/102885/question/9.xml
390.6981945037842,85686.85579299927,18,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1029813/question/0.xml
114.3960952758789,114475.48770904541,17,13,True,True,./../../Downloads/dataset_full/dataset_full/math/1029813/question/12.xml
184.26513671875,60655.70688247681,1060,1,False,True,./../../Downloads/dataset_full/dataset_full/math/1029813/question/2.xml
2007.3885917663574,67502.39300727844,628,1,False,True,./../../Downloads/dataset_full/dataset_full/math/1029813/question/3.xml
251.06382369995117,69082.5445652008,240,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1029813/question/4.xml
124.44114685058594,92666.18061065674,18,6,True,True,./../../Downloads/dataset_full/dataset_full/math/1029813/question/6.xml
107.36632347106934,88358.10542106628,15,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1029813/question/8.xml
75.10566711425781,73452.61359214783,17,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1029813/question/9.xml
1966.5913581848145,67811.47694587708,90,1,False,True,./../../Downloads/dataset_full/dataset_full/math/1030204/question/3.xml
248.40664863586426,80727.62894630432,86,6,False,True,./../../Downloads/dataset_full/dataset_full/math/1034156/question/1.xml
341.05396270751953,79876.36995315552,137,6,True,True,./../../Downloads/dataset_full/dataset_full/math/1034156/question/2.xml
1185.4372024536133,82624.55821037292,295,6,False,True,./../../Downloads/dataset_full/dataset_full/math/1034156/question/3.xml
682.196855545044,86465.91448783875,1239,5,False,True,./../../Downloads/dataset_full/dataset_full/math/1038340/question/1.xml
407.53984451293945,88337.44788169861,17,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1038340/question/2.xml
381.74915313720703,89201.50232315063,16,3,False,True,./../../Downloads/dataset_full/dataset_full/math/1038340/question/3.xml
179.63647842407227,79099.7519493103,15,3,True,True,./../../Downloads/dataset_full/dataset_full/math/10400/question/1.xml
649.0602493286133,79083.1892490387,84,2,True,True,./../../Downloads/dataset_full/dataset_full/math/10400/question/3.xml
293.26534271240234,71702.73542404175,49,1,True,True,./../../Downloads/dataset_full/dataset_full/math/10400/question/4.xml
158.49828720092773,97145.6687450409,18,5,True,True,./../../Downloads/dataset_full/dataset_full/math/10400/question/5.xml
85.60872077941895,86305.04083633423,14,6,True,True,./../../Downloads/dataset_full/dataset_full/math/10400/question/6.xml
152.47178077697754,79859.83848571777,9,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1040128/question/0.xml
2823.9963054656982,69666.92638397217,2835,1,False,True,./../../Downloads/dataset_full/dataset_full/math/1040128/question/1.xml
129.31036949157715,95587.77737617493,15,9,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/1.xml
50.628662109375,64252.66075134277,26,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/17.xml
127.62284278869629,80299.89528656006,12,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/19.xml
1332.6308727264404,72455.73329925537,73,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/2.xml
1046.9403266906738,68616.79363250732,17,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/20.xml
159.30891036987305,103776.4961719513,13,10,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/4.xml
154.77323532104492,114700.80661773682,13,13,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/6.xml
133.27765464782715,84604.77781295776,18,5,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/7.xml
395.02525329589844,65657.1307182312,28,1,False,True,./../../Downloads/dataset_full/dataset_full/math/1040477/question/0.xml
362.54191398620605,65030.65299987793,0,1,True,True,./../../Downloads/dataset_full/dataset_full/math/104270/question/0.xml
211.99798583984375,67913.98739814758,12,2,True,True,./../../Downloads/dataset_full/dataset_full/math/104270/question/1.xml
358.3509922027588,64732.786417007446,36,1,True,True,./../../Downloads/dataset_full/dataset_full/math/104270/question/3.xml
426.99432373046875,70068.93730163574,16,1,True,True,./../../Downloads/dataset_full/dataset_full/math/104270/question/4.xml
128.0674934387207,104056.95033073425,17,11,True,True,./../../Downloads/dataset_full/dataset_full/math/10490/question/0.xml
324.5863914489746,71066.86329841614,2,1,False,True,./../../Downloads/dataset_full/dataset_full/math/10490/question/1.xml
216.60423278808594,67324.37515258789,8,2,False,True,./../../Downloads/dataset_full/dataset_full/math/105107/question/1.xml
161.4515781402588,57950.81400871277,102,1,False,True,./../../Downloads/dataset_full/dataset_full/math/105107/question/3.xml
1177.8903007507324,89004.5657157898,21,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1052870/question/0.xml
649.7302055358887,68954.94985580444,194,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1052870/question/1.xml
626.2450218200684,69117.52390861511,530,3,False,True,./../../Downloads/dataset_full/dataset_full/math/1052870/question/2.xml
2141.080379486084,67068.62807273865,2159,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1052870/question/3.xml
2112.7359867095947,67801.23972892761,2159,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1052870/question/4.xml
736.2625598907471,74476.99332237244,96,3,False,True,./../../Downloads/dataset_full/dataset_full/math/105330/question/0.xml
645.9624767303467,67662.67228126526,530,3,False,True,./../../Downloads/dataset_full/dataset_full/math/105330/question/1.xml
621.5448379516602,67375.75793266296,530,3,False,True,./../../Downloads/dataset_full/dataset_full/math/105330/question/2.xml
514.1918659210205,100820.66869735718,16,5,True,True,./../../Downloads/dataset_full/dataset_full/math/105330/question/3.xml
2663.1219387054443,66888.66877555847,2835,1,False,True,./../../Downloads/dataset_full/dataset_full/math/1054719/question/0.xml
139.59527015686035,65123.94022941589,29,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1055501/question/0.xml
669.4180965423584,77459.59734916687,14,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1055538/question/0.xml
106.46843910217285,70875.55694580078,13,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1055538/question/1.xml
107.88631439208984,70813.45319747925,13,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1055538/question/3.xml
306.5454959869385,76333.29582214355,22,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1056707/question/0.xml
861.5500926971436,70622.04670906067,116,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1056707/question/1.xml
62.555551528930664,90576.64346694946,13,5,True,True,./../../Downloads/dataset_full/dataset_full/math/106126/question/2.xml
1296.8940734863281,71046.81205749512,1099,3,False,True,./../../Downloads/dataset_full/dataset_full/math/1067078/question/0.xml
297.87588119506836,69497.36404418945,277,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1067078/question/1.xml
116.97626113891602,101482.94639587402,18,5,True,True,./../../Downloads/dataset_full/dataset_full/math/1067078/question/2.xml
100.83317756652832,71434.84091758728,9,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1068/question/0.xml
1840.2249813079834,76044.75092887878,248,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1068/question/1.xml
59.033870697021484,64165.9197807312,12,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1068/question/3.xml
67.00372695922852,73098.10066223145,13,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1068/question/4.xml
2749.969482421875,68232.5279712677,4,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1068/question/5.xml
111.22536659240723,78680.00507354736,13,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1068/question/6.xml
138.0903720855713,121612.14423179626,14,9,True,True,./../../Downloads/dataset_full/dataset_full/math/106964/question/0.xml
139.46223258972168,66322.12376594543,10,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1070330/question/0.xml
113.01994323730469,69838.53483200073,10,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1070330/question/1.xml
260.7917785644531,69641.08276367188,3,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1070575/question/6.xml
626.075267791748,82103.45315933228,41,4,False,True,./../../Downloads/dataset_full/dataset_full/math/1076177/question/0.xml
611.2639904022217,81976.39417648315,31,4,False,True,./../../Downloads/dataset_full/dataset_full/math/1076177/question/1.xml
612.6673221588135,81867.19465255737,16,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1076177/question/2.xml
610.0351810455322,83128.51238250732,33,4,False,True,./../../Downloads/dataset_full/dataset_full/math/1076177/question/3.xml
133.27264785766602,108481.0597896576,15,9,True,True,./../../Downloads/dataset_full/dataset_full/math/107931/question/2.xml
125.48065185546875,110007.14564323425,15,9,True,True,./../../Downloads/dataset_full/dataset_full/math/107931/question/3.xml
183.35890769958496,85385.21146774292,43,2,True,True,./../../Downloads/dataset_full/dataset_full/math/1080016/question/2.xml
404.74486351013184,103789.21318054199,18,5,True,True,./../../Downloads/dataset_full/dataset_full/math/1080016/question/3.xml
645.40696144104,102377.98547744751,16,5,True,True,./../../Downloads/dataset_full/dataset_full/math/1080016/question/4.xml
2164.712905883789,71605.65519332886,2339,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1080016/question/5.xml
2172.1420288085938,71963.01627159119,2339,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1080016/question/6.xml
2190.3412342071533,105279.93059158325,2339,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1080016/question/7.xml
390.81883430480957,71823.40621948242,149,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1081020/question/1.xml
160.0191593170166,87145.1985836029,10,7,True,True,./../../Downloads/dataset_full/dataset_full/math/1081020/question/5.xml
165.8487319946289,94965.00754356384,8,7,True,True,./../../Downloads/dataset_full/dataset_full/math/1081020/question/6.xml
126.9676685333252,68109.71474647522,29,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1081020/question/7.xml
134.06801223754883,68592.60511398315,29,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1081020/question/8.xml
378.12113761901855,64498.77452850342,7,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1081364/question/0.xml
288.55180740356445,68593.4488773346,426,3,False,True,./../../Downloads/dataset_full/dataset_full/math/1081364/question/1.xml
557.5313568115234,91986.9475364685,18,6,True,True,./../../Downloads/dataset_full/dataset_full/math/1081364/question/2.xml
194.0929889678955,131602.98132896423,18,13,True,True,./../../Downloads/dataset_full/dataset_full/math/1081364/question/3.xml
197.48473167419434,98231.50253295898,17,7,True,True,./../../Downloads/dataset_full/dataset_full/math/1081364/question/4.xml